ID,Name,Classification per User,Provider Email,Date of Release,Consoles,Owners,Developers,Genres,Multiplayer Options,Online Features,Platforms,Modes,DLC Availability,Prices in dollars,Metacritic Scores,ESRB Content Ratings,System Requirements,Physical Releases,Awards
1,Shadow Adventure Mythos Ascendant,4,WanderersWhisper@hotmail.com,1999-01-26,Nintendo Switch,Rockstar Games,Nintendo EAD,Adventure,Couch Multiplayer,User-generated Content,GameCube,Story Mode,Season Pass,5.0,20,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Ultimate Edition,Best RPG
2,Dragon Saga Mythos Ascendant,10,WanderersWhim@yahoo.com,2018-09-01,Nintendo 64,Valve,Epic Games,Adventure,Split Screen,Cloud Saves,Nintendo DS,Multiplayer,Not Available,5.24,28,Adults Only,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Definitive Edition,Best RPG
3,Shadow Adventure Infinity's Echo,7,StarlightSurfer@gmail.com,2008-09-29,Nintendo 64,Microsoft Studios,Kojima Productions,Action,Competitive LAN,Downloadable Content (DLC),GameCube,Time Trial,Expansion Pack,10.0,69,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Definitive Edition,Best Sports Game
4,Infernal Adventure Shadows of Destiny,1,AdventureEnthusiast@hotmail.com,2010-09-22,PlayStation,Epic Games,Ubisoft Montreal,Adventure,Split Screen,Social Media Integration,Nintendo 3DS,Multiplayer,Not Available,5.0,9,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Platinum Hits,Most Anticipated
5,Galactic Odyssey Horizon's Edge,4,WildflowerChild@gmail.com,1985-10-01,PlayStation,Bandai Namco Entertainment,Capcom,Action,Cross-platform Multiplayer,Downloadable Content (DLC),Nintendo 64,Practice Mode,Free DLC,6.86,37,Early Childhood,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Premium Edition,Best Fighting Game
6,Cosmic Journey Celestial Rhapsody,10,WildflowerChild@gmail.com,2007-10-30,PlayStation,Rockstar Games,Kojima Productions,Action,Competitive Online,Voice Chat,Game Boy Advance,Challenge Mode,Not Available,10.0,40,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Gold Edition,Best Direction
7,Cosmic Journey Elysium's Embrace,1,WanderlustWisp@outlook.com,2021-03-05,PlayStation,Activision,Capcom,Adventure,LAN Multiplayer,Online Leaderboards,Nintendo Switch,Challenge Mode,Not Available,5.0,7,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Gold Edition,Best Indie Game
8,Enchanted Quest Infinity's Reach,5,WandererInWonderland@hotmail.com,2007-10-06,Sega Genesis,Square Enix,Ubisoft Montreal,Action,Local Multiplayer,Season Pass,Wii,Time Trial,Available,5.0,59,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Anniversary Edition,Best Fighting Game
9,Frozen Journey Phoenix Reborn,10,EnchantedEclipse@yahoo.com,1993-11-28,PlayStation,Sega,Square Enix,Action,Online Co-op,Cloud Saves,Wii,Tutorial,Free DLC,7.34,38,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Complete Edition,Best Adventure Game
10,Mystic Quest Origins Revealed,6,CosmicAdventurer@yahoo.com,2020-09-17,PlayStation,Sony Interactive Entertainment,Rockstar North,Adventure,Local Multiplayer,Cross-platform Play,Wii,Survival,Season Pass,7.18,1,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Anniversary Edition,Best Adventure Game
11,Elemental Saga Phoenix Reborn,10,ForestExplorer@yahoo.com,2007-02-16,Nintendo 64,Rockstar Games,Blizzard Entertainment,Adventure,Online Co-op,Online Chat,Nintendo 3DS,Time Trial,Expansion Pack,5.0,45,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Anniversary Edition,Best Racing Game
12,Starlight Odyssey Astral Ascension,2,WhimsicalWanderer@yahoo.com,2008-11-03,PlayStation,Ubisoft,Valve,Action,LAN Multiplayer,Online Tournaments,Nintendo Switch,Free Play,Not Available,8.27,22,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Standard Edition,Best Soundtrack
13,Neon Quest Shadows of Destiny,9,NatureNurturer@hotmail.com,1997-12-05,PlayStation,Ubisoft,Valve,Adventure,Online Co-op,Live Events,Nintendo 64,Online,Season Pass,6.21,33,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Fan Favorite
14,Forgotten Legends Nexus Unveiled,3,SereneSafari@hotmail.com,2023-12-25,GameCube,Activision,Respawn Entertainment,Adventure,Cross-platform Multiplayer,User-generated Content,Nintendo 3DS,Survival,Not Available,6.55,90,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Steelbook Edition,Best Fighting Game
15,Cyber Quest Legacy of Light,10,SoulfulSojourner@outlook.com,2010-07-08,Nintendo 64,Microsoft Studios,Nintendo EAD,Adventure,Online Multiplayer,Matchmaking,Wii U,Online,Expansion Pack,10.0,1,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Collector's Edition,Best Racing Game
16,Solar Odyssey Legends Unbound,6,ZenTrailblazer@gmail.com,2014-04-25,Nintendo 64,Sega,Kojima Productions,Adventure,Competitive LAN,Cross-platform Play,Nintendo Switch,Campaign,Available,10.0,85,Teen,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Complete Edition,Best Direction
17,Lunar Chronicles Shadows of Destiny,9,OceanWhisperer@outlook.com,1999-03-09,Nintendo 64,Tencent Games,343 Industries,Action,Competitive Local,Cross-platform Play,Wii U,Competitive,Expansion Pack,5.0,68,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Enhanced Edition,Game of the Year
18,Neon Quest Echoes of Eternity,5,EnchantedExplorer@gmail.com,1980-11-06,Nintendo 64,Sega,Nintendo EAD,Action,Online Multiplayer,Social Media Integration,GameCube,Single Player,Paid DLC,6.67,34,Everyone 10+,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Steelbook Edition,Best Direction
19,Enchanted Quest Infinity's Echo,4,EchoingExplorer@outlook.com,2009-02-16,PlayStation,Epic Games,Naughty Dog,Action,Online Co-op,Online Tournaments,Nintendo 64,Story Mode,Expansion Pack,6.29,80,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Definitive Edition,Best Innovation
20,Frozen Journey Dreamscape Chronicles,5,SpiritSeeker@gov.com,1985-06-26,Sega Genesis,THQ Nordic,Naughty Dog,Action,Couch Multiplayer,Social Media Integration,Wii,Custom Mode,Planned,7.12,49,Everyone 10+,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Enhanced Edition,Best Racing Game
21,Frozen Journey Beyond the Horizon,10,WandererInFlight@outlook.com,2010-07-28,Nintendo Switch,THQ Nordic,Valve,Adventure,Couch Multiplayer,Social Media Integration,GameCube,Multiplayer,Not Available,6.87,63,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Anniversary Edition,Best Adventure Game
22,Solar Odyssey Chronicles of Discovery,5,WanderersWhisper@hotmail.com,2008-07-03,GameCube,Sega,Rockstar North,Adventure,Local Multiplayer,Live Events,Nintendo 64,Time Trial,Available,10.0,87,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Ultimate Edition,Best Adventure Game
